,Occupation,Occupation_category,Group,Entropy
0,Chief executives,Management occupations,0,1.0991778059840738
1,General and operations managers,Management occupations,0,1.1762523636532394
2,Advertising and promotions managers,Management occupations,2,1.1726394979955184
3,Marketing managers,Management occupations,1,1.1457791569004558
4,Sales managers,Management occupations,1,1.132478542506249
5,Public relations and fundraising managers,Management occupations,2,1.0505112207186311
6,Administrative services managers,Management occupations,2,1.1200080804024322
7,Facilities managers,Management occupations,2,1.0854870972907136
8,Computer and information systems managers,Management occupations,0,1.23650175700191
9,Financial managers,Management occupations,0,1.230434507138578
10,Human resources managers,Management occupations,1,1.2366223446184461
11,Training and development managers,Management occupations,2,1.0760194043198732
12,Industrial production managers,Management occupations,1,1.1775688070549983
13,Purchasing managers,Management occupations,1,1.1565510625695403
14,"Transportation, storage, and distribution managers",Management occupations,1,1.22920967211628
15,"Farmers, ranchers, and other agricultural managers",Management occupations,1,0.9346957969837032
16,Construction managers,Management occupations,0,1.1145449837683752
17,Education and childcare administrators,Management occupations,0,1.1876507799527736
18,Architectural and engineering managers,Management occupations,2,1.1395902259263448
19,Food service managers,Management occupations,0,1.3511464403005755
20,Lodging managers,Management occupations,2,1.2916486759694354
21,Medical and health services managers,Management occupations,0,1.246277165678602
22,"Property, real estate, and community association managers",Management occupations,0,1.174607163696965
23,Social and community service managers,Management occupations,1,1.279204968263263
24,"Managers, all other",Management occupations,0,1.1969212096620032
25,"Wholesale and retail buyers, except farm products",Business and financial operations occupations,1,1.2354931617502558
26,"Purchasing agents, except wholesale, retail, and farm products",Business and financial operations occupations,1,1.2278367497114786
27,"Claims adjusters, appraisers, examiners, and investigators",Business and financial operations occupations,1,1.2989222535082843
28,Compliance officers,Business and financial operations occupations,1,1.2747647345356377
29,Cost estimators,Business and financial operations occupations,2,1.1146639632413995
30,Human resources workers,Business and financial operations occupations,0,1.2629920845030647
31,"Compensation, benefits, and job analysis specialists",Business and financial operations occupations,2,1.3087283606622453
32,Training and development specialists,Business and financial operations occupations,1,1.2368318057001009
33,Logisticians,Business and financial operations occupations,2,1.1843998025395437
34,Project management specialists,Business and financial operations occupations,0,1.1728634984124118
35,Management analysts,Business and financial operations occupations,0,1.1752159696989914
36,"Meeting, convention, and event planners",Business and financial operations occupations,2,1.1118520352695276
37,Fundraisers,Business and financial operations occupations,2,1.006350576208436
38,Market research analysts and marketing specialists,Business and financial operations occupations,1,1.172094011228506
39,"Business operations specialists, all other",Business and financial operations occupations,0,1.2771018585465175
40,Accountants and auditors,Business and financial operations occupations,0,1.2371426807095327
41,Property appraisers and assessors,Business and financial operations occupations,2,0.8472405080756118
42,Budget analysts,Business and financial operations occupations,2,1.35420557852625
43,Financial and investment analysts,Business and financial operations occupations,1,1.3372490531377053
44,Personal financial advisors,Business and financial operations occupations,1,1.1546642221250991
45,Insurance underwriters,Business and financial operations occupations,2,1.2337943491405945
46,Credit counselors and loan officers,Business and financial operations occupations,1,1.2362987573985575
47,"Tax examiners and collectors, and revenue agents",Business and financial operations occupations,2,1.1233817540050115
48,Tax preparers,Business and financial operations occupations,2,1.3139302608621608
