,Principal Component 1,Principal Component 2,principal component 3,principal component 4,principal component 5,principal component 6,target,labels,Occupation_category1,Occupation_category,Total,White,entropy,Black
0,-3.357752048964857,0.004432799169787509,0.7086355750234884,0.5535621163219776,-0.33897234966408635,-0.035714738737599984,Chief executives,0,Management occupations,Management occupations,"1,664",1426048.0000000002,1.0991778059840738,98176.0
1,-2.928634457099676,0.14172917637948293,0.2275920939174787,0.2875811425248997,-0.31096582122056016,-0.02873260279116247,General and operations managers,0,Management occupations,Management occupations,"1,085",897295.0,1.1762523636532394,100905.0
2,2.10106961497161,-0.5865323237066781,-0.2703572041247705,-0.04216439518706517,-0.525322483611217,-0.10064194111454004,Advertising and promotions managers,2,Management occupations,Management occupations,72,56664.00000000001,1.1726394979955184,8711.999999999998
3,-1.5882540902008517,-0.2334086756458565,0.21646319625669252,0.48985394683348665,-0.2425638013216167,-0.019335280731066124,Marketing managers,1,Management occupations,Management occupations,576,480960.0,1.1457791569004558,35712.00000000001
4,-1.4645399408435327,-0.05842304386355921,0.24106792991964826,0.4914858434176224,-0.08134161874971964,-0.007970603132310471,Sales managers,1,Management occupations,Management occupations,537,463968.0,1.132478542506249,31683.0
5,1.9133831999793058,-0.5196028917213504,-0.035347914887996094,0.7483595601745879,-0.07274999633029036,-0.019539308823823275,Public relations and fundraising managers,2,Management occupations,Management occupations,100,89300.0,1.0505112207186311,3500.0
6,2.6316670626086798,-0.038423132967020455,0.25836857166181404,-0.28035021919806485,-0.23247536279448952,-0.08923406321876065,Administrative services managers,2,Management occupations,Management occupations,60,50400.0,1.1200080804024322,7980.0
7,1.1712595282085758,0.8392227202387715,0.062458141045994314,0.25549806877077663,-0.05884701991278683,-0.013585721539360437,Facilities managers,2,Management occupations,Management occupations,146,132130.0,1.0854870972907136,10804.0
8,-2.0028037175867976,-0.5135797271331021,0.331318722429136,0.32911860249673297,-0.3019099171092183,0.0350449449929515,Computer and information systems managers,0,Management occupations,Management occupations,715,517660.00000000006,1.23650175700191,51480.0
9,-3.319087086384923,-0.048047030802859596,0.25851852623409916,0.28614867595218957,-0.25714658681466673,0.004167661038721333,Financial managers,0,Management occupations,Management occupations,"1,307",1025995.0,1.230434507138578,117630.0
10,-0.4765239262543944,-0.17458949922389144,0.18603171191011747,-0.1086527576487981,-0.1055270605059294,-0.025522232590191454,Human resources managers,1,Management occupations,Management occupations,273,215397.0,1.2366223446184461,33579.0
11,2.9536743827374994,-0.39303202150072547,0.13195093189625806,0.4666898170517215,0.28985018230266796,0.0009927516368707094,Training and development managers,2,Management occupations,Management occupations,55,49995.0,1.0760194043198732,2254.9999999999995
12,-0.10039428332121043,-0.41320579228726356,0.24410799523091867,0.38291789027317985,0.0684404498122087,0.015243308823886253,Industrial production managers,1,Management occupations,Management occupations,256,211968.0,1.1775688070549983,14592.0
13,0.03778976601125193,-0.3639579996842796,0.16343160808060275,0.1887558405494723,-0.268295450011529,-0.052030086125886915,Purchasing managers,1,Management occupations,Management occupations,232,190936.0,1.1565510625695403,19720.0
14,-0.7727872576848283,0.08453634775457475,0.047792939468054456,0.017185500321109288,0.044529388072745126,-0.016321043310935826,"Transportation, storage, and distribution managers",1,Management occupations,Management occupations,314,259050.0,1.22920967211628,33597.99999999999
15,-1.5939375649150327,0.3312616902519956,0.2366003650392701,1.5552730299100042,-0.22555157038619736,0.04741354573735173,"Farmers, ranchers, and other agricultural managers",1,Management occupations,Management occupations,875,829500.0,0.9346957969837032,13125.0
16,-2.5546117800526913,0.5300825932738779,0.33676670108920304,0.6047412479283352,0.13551971662595888,0.021492514058593516,Construction managers,0,Management occupations,Management occupations,999,907092.0,1.1145449837683752,50949.0
17,-2.7320388796277166,0.2499283238326088,0.2716479668701106,0.00333172544369742,-0.4745849390665702,-0.05490050348656149,Education and childcare administrators,0,Management occupations,Management occupations,956,762888.0,1.1876507799527736,133840.0
18,1.0164475857399595,-0.7372281767042328,0.867808937835739,0.3509829291539568,0.031305972927836316,0.01634305607642421,Architectural and engineering managers,2,Management occupations,Management occupations,178,142222.0,1.1395902259263448,8010.0
19,-3.307120571479314,0.04207213788552162,0.14240321164343236,0.039916390283831746,0.1333413611421649,0.04789514198109019,Food service managers,0,Management occupations,Management occupations,"1,133",846351.0,1.3511464403005755,124630.0
